[[{'duration': 6.32, 'start': 1.12, 'text': '자, 10주차 이제 최적화 부분 한번'},
  {'duration': 4.479, 'start': 5.16, 'text': '미션 같이 한번 진행해 보도록'},
  {'duration': 4.8, 'start': 7.44, 'text': '하겠습니다. 아마 여러분들이 이제'},
  {'duration': 5.2, 'start': 9.639, 'text': '10조차 워크북을 진행하시면서 이제'},
  {'duration': 4.84, 'start': 12.24, 'text': '유즈 메모, 뭐 메모, 유즈 콜백'},
  {'duration': 5.041, 'start': 14.839, 'text': '이거에 대해서 아마 제가 강의를'},
  {'duration': 5.279, 'start': 17.08, 'text': '촬영한 영상들을 이제 아마 나이를 해'},
  {'duration': 6.08, 'start': 19.88, 'text': '가지고이 부분에 직접 강의 영상을'},
  {'duration': 5.881, 'start': 22.359, 'text': '보면서 한번 정리를 해 봐라. 그리고'},
  {'duration': 4.96, 'start': 25.96, 'text': '조금 추가적으로 제가 다 못 전달해'},
  {'duration': 5.28, 'start': 28.24, 'text': '드린 부분이 있으니까 그 부분을 한번'},
  {'duration': 5.44, 'start': 30.92, 'text': '직접 찾아보시고 한번 다른 예제를'},
  {'duration': 5.76, 'start': 33.52, 'text': '여러분들이 직접 만들어 보시면서 아'},
  {'duration': 4.96, 'start': 36.36, 'text': '이래서 최적화가 필요하구나라는 거를'},
  {'duration': 5.759, 'start': 39.28, 'text': '조금 여러분들이 느끼셨으면 좋을 것'},
  {'duration': 6.44, 'start': 41.32, 'text': '같아 가지고 그 최적화 강의를 준비를'},
  {'duration': 5.921, 'start': 45.039, 'text': '했고요. 사실 최적화 부분 같은'},
  {'duration': 4.76, 'start': 47.76, 'text': '경우에는 제가 이전 강의 그니까 이전'},
  {'duration': 4.04, 'start': 50.96, 'text': '워크북 그러니까 여러분들이 지금'},
  {'duration': 5.199, 'start': 52.52, 'text': '8기시니까 뭐 6기나 7기에는 사실'},
  {'duration': 4.48, 'start': 55.0, 'text': '해당 부분의 내용은 넣지는 않았어요.'},
  {'duration': 3.721, 'start': 57.719, 'text': '하지만 아마 여러분들이 7기에서'},
  {'duration': 4.399, 'start': 59.48, 'text': '8기이어서 하시는 분들은 제가 7기'},
  {'duration': 4.84, 'start': 61.44, 'text': '때 데모데이 때 아마 영상들을 조금'},
  {'duration': 4.361, 'start': 63.879, 'text': '몇 개 첨부하셨는 첨부해 드렸는데'},
  {'duration': 4.6, 'start': 66.28, 'text': '그거를 보시면서 조금 최적화를'},
  {'duration': 4.64, 'start': 68.24, 'text': '하시면서 그래도 여러분들이 9연에만'},
  {'duration': 4.2, 'start': 70.88, 'text': '너무 급급해 하지 않고 어쨌든'},
  {'duration': 4.64, 'start': 72.88, 'text': '여러분들이 한 두 달 정도 되는 되게'},
  {'duration': 4.999, 'start': 75.08, 'text': '긴 기간 동안 개발을 하시기 때문에'},
